""	"AQC1cm"	"AQC4cm"	"AQC7cm"	"CC1"	"CL3"	"Even1"	"Even2"	"Even3"	"F21Plmr"	"LMEpi24M"	"M11Fcsw"	"M11Plmr"	"M11Tong"	"M31Fcsw"	"M31Plmr"	"M31Tong"	"NP2"	"NP3"	"NP5"	"SLEpi20M"	"SV1"	"TRRsed1"	"TRRsed2"	"TRRsed3"	"TS28"	"TS29"
"153762"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"175045"	0	1	2	0	0	27	1	0	2	3	1	0	0	0	0	0	1	6	3	0	0	83	1692	3030	5	0
"71074"	0	1	0	341	93	4	3	30	58	1	0	48	0	1	23	2	0	1	0	1	11788	9	118	51	0	1
"525569"	1	14	18	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"557121"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"560734"	3	3	2	1	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"341901"	0	0	1	33	4	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	217	0	1	0	0	0
"286030"	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"275402"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	19	13	0	0
"321069"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0
"161544"	9	8	12	31	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
"215003"	16	29	19	182	9	1	3	0	0	1	0	3	0	0	5	0	0	0	1	0	105	0	0	1	0	0
"548077"	1	3	3	32	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
"257176"	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"100157"	0	0	0	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0
"576085"	0	0	0	23	30	0	0	0	1	0	0	6	0	0	2	0	0	0	0	0	2	1	9	5	0	0
"100757"	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0
"91919"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	1	0	0
"89337"	1	0	0	26	288	1	0	1	0	1	0	3	0	0	0	0	0	0	0	0	200	1	0	0	0	0
"542118"	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
"265094"	1	0	2	374	61	3	2	28	1	0	0	15	1	0	14	1	0	0	2	0	4361	3	2	1	1	2
"128051"	0	0	0	16	489	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"23870"	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	1	0	0
"160135"	0	5	24	24	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	22	0	3	2	0	0
"574226"	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"329744"	3542	695	2908	23	21	129	66	99	29	102525	45	64	1474	28	15	296	91	126	120	323914	67	83	51	28	52	48
"160337"	1	0	1	25	62	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	88	0	0	0	0	1
"104310"	1	3	0	43	46	0	0	0	1	1	0	4	0	0	1	0	0	0	0	0	28	0	0	0	0	0
"253651"	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
"76142"	1	3	2	38	5	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	7	0	0	0	0	0
"144921"	0	0	0	1	0	0	0	0	0	19	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0
"349277"	2	4	1	4	0	0	0	0	2	2	0	5	0	0	26	0	0	0	0	1	0	0	0	0	0	0
"152720"	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"218035"	4	3	2	452	69	0	1	0	39	5	0	242	1	0	75	2	0	0	0	8	29	0	1	1	0	0
"29284"	2	2	3	135	1	0	3	0	2	0	0	93	0	0	4	1	0	0	0	5	2	7	14	2	0	0
"588981"	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"12364"	0	0	1	7	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"139920"	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"26061"	0	0	0	0	0	0	0	0	169	1	0	14	0	0	190	13	0	0	0	0	0	0	0	0	0	1
"471141"	58	23	52	20	8	25	29	11	782	491	12	306	1150	15	9196	91809	9	19	138	21	13	12	18	10	17	16
"261709"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"320879"	2	4	0	1	1	2	1	3	339	2	5	5949	3	161	6385	8	0	4	2	1	0	0	2	3	3	1
"503327"	0	0	0	0	0	0	0	0	3	0	0	41	0	0	13	0	0	0	0	0	0	0	0	0	0	0
"261774"	0	0	0	2	0	0	0	1	238	0	0	852	2	6	1030	1	0	0	0	4	1	0	1	0	0	1
"13333"	0	0	0	13	10	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	2	0	0	0
"13069"	0	0	0	127	10	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0
"203691"	0	0	0	0	0	14	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"292521"	2	0	0	0	0	74	63	56	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	25	141
"201720"	0	0	0	0	0	0	0	0	3	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0
"72610"	0	0	0	0	0	0	0	0	21	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"90465"	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"10517"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"23777"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
"576850"	0	3	0	5	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
"531589"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"272602"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"568172"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"259270"	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"42014"	13	0	0	0	0	1	0	0	4	0	0	26	0	0	5	1	0	0	1	0	0	0	31	1	0	0
"264558"	0	0	0	0	0	0	0	0	8	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"330861"	5	0	2	21	1	0	1	0	297	3	4	402	1	5	179	8	2	7	9	1	2	60	4618	55	0	3
"550329"	52	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0
"328963"	97	212	125	4	0	2	0	0	0	0	0	0	0	0	0	4	3	14	123	6	0	0	0	0	0	1
"159246"	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"103589"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
"136145"	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"247816"	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"279083"	72	21	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"558480"	51	38	9	0	0	0	0	0	0	76	0	0	0	0	0	0	5	0	16	68	0	0	0	0	0	0
"373357"	1	6	2	4	1	0	0	1	0	7	35	1	1	0	1	4	0	1	0	0	0	0	0	2	0	0
"306610"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
"334326"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"18643"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"355680"	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
"547752"	3	3	2	37	163	1	0	0	0	13	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0
"166835"	10	11	4	3814	5129	30	9	3	0	7	0	5	1	1	2	4	0	1	1	1	3	0	0	4	0	1
"295422"	0	0	0	17	105	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0	0	0	0	0
"234044"	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"207982"	0	0	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"470724"	0	0	1	0	0	0	0	0	491	0	0	7	0	0	23	9	1	0	0	0	0	0	0	0	0	0
"394191"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"151439"	7	7	9	914	18	0	6	0	0	0	0	21	0	0	0	0	0	0	0	0	5	0	0	0	0	0
"101544"	3	0	2	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
"356589"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"107184"	4	11	11	2	3	0	0	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
