""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"153762"	"Archaea"	"Crenarchaeota"	"Thaumarchaeota"	"Cenarchaeales"	"Cenarchaeaceae"	"Cenarchaeum"	NA
"175045"	"Archaea"	"Crenarchaeota"	"Thaumarchaeota"	"Cenarchaeales"	"Cenarchaeaceae"	"Nitrosopumilus"	NA
"71074"	"Archaea"	"Crenarchaeota"	"Thaumarchaeota"	"Nitrososphaerales"	"Nitrososphaeraceae"	"CandidatusNitrososphaera"	"SCA1145"
"525569"	"Archaea"	"Crenarchaeota"	"C2"	"pGrfC26"	NA	NA	NA
"557121"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	NA	"Methanosphaerula"	"Methanosphaerulapalustris"
"560734"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	NA	NA	NA
"341901"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardioidaceae"	NA	NA
"286030"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardioidaceae"	"Nocardioides"	NA
"275402"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"koll13"	NA	NA	NA
"321069"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"koll13"	NA	NA	NA
"161544"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiales"	NA	NA	NA
"215003"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiales"	NA	NA	NA
"548077"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiales"	NA	NA	NA
"257176"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiales"	"EB1017"	NA	NA
"100157"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiales"	"EB1017"	NA	NA
"576085"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Thermomonosporaceae"	"Actinomadura"	"Actinomaduravinacea"
"100757"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Thermomonosporaceae"	"Actinomadura"	"Actinomadurarubrobrunea"
"91919"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiopsaceae"	"Nocardiopsis"	NA
"89337"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Pseudonocardiaceae"	"Actinoalloteichus"	NA
"542118"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	NA	NA
"265094"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	"Micromonospora"	"Micromonosporacarbonacea"
"128051"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinospicaceae"	NA	NA
"23870"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	NA
"160135"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	NA
"574226"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptacidiphilus"	NA
"329744"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"ACK-M1"	NA	NA
"160337"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Frankiaceae"	NA	NA
"104310"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Frankiaceae"	NA	NA
"253651"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	NA	NA	NA
"76142"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nakamurellaceae"	NA	NA
"144921"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Microcella"	NA
"349277"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Microbacterium"	"Microbacteriumaurum"
"152720"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Microbacterium"	NA
"218035"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	NA	NA
"29284"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Intrasporangiaceae"	"Tetrasphaera"	"Tetrasphaerajenkinsii"
"588981"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Intrasporangiaceae"	"Terracoccus"	NA
"12364"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Intrasporangiaceae"	"Terracoccus"	NA
"139920"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Dermacoccaceae"	"Dermacoccus"	NA
"26061"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	NA
